lake,method,rmse,mae,nse,pbias,n_eval,n_selected_vars,arima_order,arima_seasonal_order,min_exog_lag,n_foresight_free_months,frac_foresight_free,status
Split_Lake,SARIMAX_CCM_ancestors,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Split_Lake,XGBoost_CCM_ancestors,0.5103970668259398,0.4038177099170941,0.602593201889341,-17.5063413391449,31.0,4.0,,,1.0,1.0,0.027027027027027,
Split_Lake,SARIMAX_Stepwise,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Split_Lake,XGBoost_Stepwise,0.4964734844150127,0.4175185254302437,0.6239798922009447,-165.3030881376992,31.0,4.0,,,1.0,1.0,0.027027027027027,
Split_Lake,SARIMAX_CCM_neighbor,,,,,,,,,,,,ERROR: ValueError: 测试期外生变量缺口超过MAX_FILLABLE_GAP_MONTHS上限，SARIMAX无法完成整块预测
Split_Lake,XGBoost_CCM_neighbor,0.7960269534169303,0.6230260804629969,-0.2363152224295992,-139.65893758741802,6.0,8.0,,,1.0,1.0,0.027027027027027,
Vaseux_Lake,SARIMA,0.0966430380594894,0.0714333431683156,0.1422608067027375,3.042014138417064,37.0,0.0,"(1, 1, 2)","(0, 0, 2, 12)",,37.0,1.0,
Vaseux_Lake,Persistence,0.1050591379854724,0.074899470899471,-0.0136354093775208,-25.03496256948575,37.0,0.0,,,,37.0,1.0,
Vaseux_Lake,XGBoost_AR_only,0.1070494515878974,0.0760264423758097,-0.0524052373914887,51.27344482768148,37.0,0.0,,,,37.0,1.0,
Vaseux_Lake,SARIMAX_all_vars,0.0985027824308163,0.0766328215595572,0.1089314743189553,59.85368382316957,37.0,5.0,"(1, 0, 0)","(0, 0, 0, 12)",1.0,1.0,0.027027027027027,
Vaseux_Lake,XGBoost_all_vars,0.0966369415109917,0.067280398151401,0.1423690210916178,40.12487216851248,37.0,5.0,,,1.0,1.0,0.027027027027027,
Vaseux_Lake,SARIMAX_CCM_direct,0.112266564620603,0.0824040227482408,-0.1574839399693506,-122.30137388057248,37.0,4.0,"(1, 1, 1)","(0, 0, 0, 12)",1.0,1.0,0.027027027027027,
Vaseux_Lake,XGBoost_CCM_direct,0.1142582842062417,0.0853042044299841,-0.1989180629269764,104.01255007575008,37.0,4.0,,,1.0,1.0,0.027027027027027,
Vaseux_Lake,SARIMAX_CCM_ancestors,0.112266564620603,0.0824040227482408,-0.1574839399693506,-122.30137388057248,37.0,4.0,"(1, 1, 1)","(0, 0, 0, 12)",1.0,1.0,0.027027027027027,
Vaseux_Lake,XGBoost_CCM_ancestors,0.1142582842062417,0.0853042044299841,-0.1989180629269764,104.01255007575008,37.0,4.0,,,1.0,1.0,0.027027027027027,
Vaseux_Lake,SARIMAX_Stepwise,0.0985027819162807,0.076632821119759,0.1089314836280627,59.85368227685071,37.0,5.0,"(1, 0, 0)","(0, 0, 0, 12)",1.0,1.0,0.027027027027027,
Vaseux_Lake,XGBoost_Stepwise,0.0934838510064474,0.0657429578385304,0.1974219158688178,24.83818752813496,37.0,5.0,,,1.0,1.0,0.027027027027027,
Vaseux_Lake,SARIMAX_CCM_neighbor,0.1178494950863637,0.0895555820129584,-0.2754679777556352,-160.13795582466634,37.0,7.0,"(1, 1, 1)","(2, 0, 1, 12)",1.0,1.0,0.027027027027027,
Vaseux_Lake,XGBoost_CCM_neighbor,0.1124799102746554,0.0793856184062973,-0.1618873669222478,94.67537417514718,37.0,7.0,,,1.0,1.0,0.027027027027027,
